energy (eV)	irradiance (eV s^-1 cm^-2 Hz^-1)
1.79388263667    1099.92227998
1.79401242126    1100.17650411
1.79414222463    1100.39304809
1.79427204679    1100.62828312
1.79440188774    1100.8446399
1.79453174748    1101.06088953
1.79466162601    1101.27704198
1.79479152335    1101.43678494
1.7949214395    1101.5213682
1.79505137445    1101.51204248
1.79518132822    1101.40886841
1.7953113008    1101.24939994
1.7954412922    1101.05242532
1.79557130244    1100.83671203
1.7957013315    1100.62102658
1.79583137939    1100.4053789
1.79596144612    1100.18974913
1.7960915317    1099.9741472
1.79622163612    1099.73983552
1.79635175939    1099.5055571
1.79648190152    1099.27130202
1.7966120625    1099.01835077
1.79674224235    1098.78417484
1.79687244106    1098.53129824
1.79700265864    1098.29719154
1.7971328951    1098.04438958
1.79726315044    1097.81035209
1.79739342466    1097.61378408
1.79752371777    1097.45466926
1.79765402977    1097.351709
1.79778436066    1097.30486898
1.79791471046    1097.27672016
1.79804507916    1097.24854489
1.79817546676    1097.23904008
1.79830587328    1097.21080922
1.79843629871    1097.2012533
1.79856674307    1097.15426823
1.79869720634    1097.10727205
1.79882768855    1097.02286842
1.79895818969    1096.90108351
1.79908870976    1096.76062139
1.79921924878    1096.60148029
1.79934980674    1096.44235075
1.79948038365    1096.26455308
1.79961097951    1096.08678227
1.79974159433    1095.89034429
1.79987222811    1095.63794373
1.80000288085    1095.29224757
1.80013355257    1094.77866161
1.80026424326    1094.13457596
1.80039495293    1093.39736886
1.80052568157    1092.6043673
1.80065642921    1091.77427067
1.80078719583    1090.96302327
1.80091798145    1090.17062684
1.80104878607    1089.49027936
1.80117960969    1089.08970245
1.80131045232    1089.11785876
1.80144131396    1089.74229294
1.80157219461    1090.90683615
1.80170309428    1092.40634234
1.80183401298    1094.07301686
1.8019649507    1095.79503723
1.80209590746    1097.5165224
1.80222688325    1099.2002466
1.80235787808    1100.75312574
1.80248889196    1101.98909235
1.80261992488    1102.70358234
1.80275097685    1102.76655905
1.80288204789    1102.30854178
1.80301313798    1101.53438048
1.80314424714    1100.63021207
1.80327537536    1099.68908912
1.80340652266    1098.72959675
1.80353768904    1097.82612591
1.8036688745    1096.97865224
1.80380007905    1096.29866371
1.80393130268    1095.87901549
1.80406254541    1095.70098942
1.80419380724    1095.74591754
1.80432508816    1095.92082473
1.8044563882    1096.13279978
1.80458770735    1096.36324258
1.80471904561    1096.57501209
1.80485040299    1096.71243005
1.80498177949    1096.70128466
1.80511317512    1096.37460079
1.80524458988    1095.62117248
1.80537602378    1094.44120578
1.80550747682    1092.9461788
1.805638949    1091.28461953
1.80577044033    1089.54933002
1.80590195081    1087.81451124
1.80603348045    1086.08015334
1.80616502925    1084.40189105
1.80629659722    1082.85381659
1.80642818435    1081.54708094
1.80655979066    1080.53715979
1.80669141615    1079.78687163
1.80682306082    1079.24052838
1.80695472467    1078.78691763
1.80708640771    1078.37044043
1.80721810995    1077.95405025
1.80734983139    1077.55625465
1.80748157203    1077.1400358
1.80761333187    1076.74241592
1.80774511093    1076.3633771
1.8078769092    1076.0214276
1.8080087267    1075.6795337
1.80814056341    1075.35620635
1.80827241936    1075.032939
1.80840429453    1074.70973163
1.80853618895    1074.40506752
1.8086681026    1074.11894837
1.8088000355    1073.94378488
1.80893198765    1073.95343907
1.80906395905    1074.27717669
1.8091959497    1074.9333496
1.80932795962    1075.88485846
1.80945998881    1076.98381949
1.80959203726    1078.13782033
1.80972410499    1079.30991871
1.809856192    1080.48164049
1.80998829829    1081.5791516
1.81012042387    1082.473279
1.81025256874    1082.9980383
1.81038473291    1083.00597792
1.81051691637    1082.47888133
1.81064911914    1081.54609337
1.81078134122    1080.4106724
1.81091358261    1079.18334527
1.81104584331    1077.91946814
1.81117812334    1076.67435509
1.81131042269    1075.4848807
1.81144274137    1074.44314077
1.81157507939    1073.62280471
1.81170743674    1073.11587849
1.81183981343    1072.92223454
1.81197220947    1072.93121705
1.81210462486    1073.05066492
1.81223705961    1073.20685924
1.81236951371    1073.36298326
1.81250198718    1073.53742973
1.81263448002    1073.76700968
1.81276699222    1074.1253068
1.81289952381    1074.68586175
1.81303207477    1075.50378044
1.81316464512    1076.52377304
1.81329723485    1077.69056257
1.81342984398    1078.9305304
1.81356247251    1080.18848191
1.81369512044    1081.44604053
1.81382778777    1082.68481125
